"ID","Age","Vol"
"4.7.14",7.5,1.8
"4.7.14",17.5,18
"4.7.14",27.5,49
"4.7.14",37.5,87
"4.7.14",47.5,125
"4.7.14",57.5,162
"4.7.14",67.5,203
"4.7.14",77.5,250
"4.7.14",87.5,314
"4.7.14",97.5,380
"4.7.14",107.5,458
"4.7.15",9.09,4.7
"4.7.15",19.09,22
"4.7.15",29.09,56
"4.7.15",39.09,100
"4.7.15",49.09,146
"4.7.15",59.09,199
"4.7.15",69.09,266
"4.7.15",79.09,346
"4.7.15",89.09,446
"4.7.15",99.09,578
"4.7.15",109.09,737
"5.4.8",10,5
"5.4.8",20,14
"5.4.8",30,23
"5.4.8",40,39
"5.4.8",50,63
"5.4.8",60,103
"5.4.8",70,153
"5.4.8",80,196
"5.4.8",90,238
"5.4.8",100,265
"5.4.8",110,289
"5.4.8",120,309
"5.4.8",130,327
"5.4.9",9.5,3
"5.4.9",19.5,14
"5.4.9",29.5,31
"5.4.9",39.5,54
"5.4.9",49.5,91
"5.4.9",59.5,146
"5.4.9",69.5,212
"5.4.9",79.5,279
"5.4.9",89.5,353
"5.4.9",99.5,433
"5.4.9",109.5,530
"5.4.9",119.5,616
"5.4.9",129.5,698
"5.4.10",10,3
"5.4.10",20,12
"5.4.10",30,34
"5.4.10",40,77
"5.4.10",50,131
"5.4.10",60,205
"5.4.10",70,295
"5.4.10",80,403
"5.4.10",90,516
"5.4.10",100,631
"5.4.10",110,775
"5.4.10",120,887
"5.4.10",130,997
"5.5.32",7.5,1
"5.5.32",17.5,6
"5.5.32",27.5,23
"5.5.32",37.5,47
"5.5.32",47.5,68
"5.5.32",57.5,92
"5.5.32",67.5,117
"5.5.32",77.5,134
"5.5.33",10,2
"5.5.33",20,7
"5.5.33",30,13
"5.5.33",40,20
"5.5.33",50,30
"5.5.33",60,42
"5.5.33",70,65
"5.5.33",80,96
"5.5.33",90,132
"5.5.33",100,172
"5.5.33",110,206
"5.7.12",5.45,0.8
"5.7.12",15.45,4
"5.7.12",25.45,11
"5.7.12",35.45,19
"5.7.12",45.45,28
"5.7.12",55.45,43
"5.7.12",65.45,60
"5.7.12",75.45,83
"5.7.12",85.45,109
"5.7.12",95.45,148
"5.7.12",105.45,189
"5.7.20",10,2
"5.7.20",20,4
"5.7.20",30,7
"5.7.20",40,12
"5.7.20",50,20
"5.7.20",60,31
"5.7.20",70,47
"5.7.20",80,71
"5.7.20",90,92
"5.7.20",100,116
"5.7.20",110,140
"5.7.20",120,169
"5.7.21",10,4
"5.7.21",20,10
"5.7.21",30,18
"5.7.21",40,27
"5.7.21",50,38
"5.7.21",60,56
"5.7.21",70,72
"5.7.21",80,90
"5.7.21",90,104
"5.7.21",100,123
"5.7.21",110,144
"5.7.21",120,166
"5.7.21",130,190
